	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
         NNC	11106	13.61%	10603	95.47% Misclassified as: FW-197(1.77)% | JJD-173(1.56)% | VBW-22(0.20)% | VBOF-17(0.15)% | NNP-12(0.11)% | RBD-11(0.10)% | RBW-10(0.09)% | CCT-8(0.07)% | NNCA-8(0.07)% | NNC_CCP-7(0.06)% | VBTF-7(0.06)% | VBTR-7(0.06)% | VBS-6(0.05)% | VBTS-4(0.04)% | VBAF-3(0.03)% | JJN-2(0.02)% | PRI-2(0.02)% | PRO-2(0.02)% | CCB-1(0.01)% | JJD_CCP-1(0.01)% | PMS-1(0.01)% | RBL-1(0.01)% | VBTS_VBOF-1(0.01)% | 
         NNP	 7828	9.59%	 7693	98.28% Misclassified as: NNPA-79(1.01)% | CDB-11(0.14)% | FW-10(0.13)% | NNC-9(0.11)% | JJD-6(0.08)% | NNP_CCP-5(0.06)% | DTC-4(0.05)% | CCB-2(0.03)% | CCR-2(0.03)% | JJN-2(0.03)% | JJN_CCP-2(0.03)% | DTP-1(0.01)% | PRO-1(0.01)% | VBW-1(0.01)% | 
         CCB	 5118	6.27%	 5060	98.87% Misclassified as: CCT-20(0.39)% | NNC-11(0.21)% | RBW-9(0.18)% | CCP-7(0.14)% | RBD-6(0.12)% | JJD-3(0.06)% | PRC-1(0.02)% | VBTF-1(0.02)% | 
         CCT	 4936	6.05%	 4907	99.41% Misclassified as: CCB-3(0.06)% | NNC-3(0.06)% | RBK-3(0.06)% | CCP-2(0.04)% | CCR-2(0.04)% | CCT_CCP-2(0.04)% | JJD-2(0.04)% | NNP-2(0.04)% | RBM-2(0.04)% | RBW-2(0.04)% | CCA-1(0.02)% | CCU-1(0.02)% | DTCP-1(0.02)% | FW-1(0.02)% | NNPA-1(0.02)% | RBL-1(0.02)% | 
         CCP	 4060	4.97%	 3998	98.47% Misclassified as: RBI-54(1.33)% | CCT-4(0.10)% | CCB-2(0.05)% | DTC-1(0.02)% | DTP-1(0.02)% | 
         DTC	 3955	4.85%	 3954	99.97% Misclassified as: CCB-1(0.03)% | 
         PMC	 3923	4.81%	 3920	99.92% Misclassified as: PMS-2(0.05)% | NNCA-1(0.03)% | 
         PMP	 3040	3.73%	 3039	99.97% Misclassified as: PMS-1(0.03)% | 
          FW	 2902	3.56%	 2390	82.36% Misclassified as: NNC-430(14.82)% | JJD-34(1.17)% | NNP-18(0.62)% | NNPA-5(0.17)% | VBTR-4(0.14)% | NNCA-3(0.10)% | NNC_CCP-3(0.10)% | RBI_CCP-3(0.10)% | VBW-3(0.10)% | RBI-2(0.07)% | VBOF-2(0.07)% | VBTS-2(0.07)% | JJCC-1(0.03)% | JJD_CCP-1(0.03)% | VBTS_VBOF-1(0.03)% | 
        DTCP	 2550	3.12%	 2545	99.80% Misclassified as: DTC-4(0.16)% | NNC-1(0.04)% | 
         PMS	 2394	2.93%	 1806	75.44% Misclassified as: NNCA-280(11.70)% | FW-199(8.31)% | NNC-55(2.30)% | NNPA-14(0.58)% | NNP-11(0.46)% | RBD-6(0.25)% | PRS-5(0.21)% | CDB-4(0.17)% | RBS-3(0.13)% | CCR-2(0.08)% | PMQ-2(0.08)% | RBI-2(0.08)% | RBM-2(0.08)% | JJD-1(0.04)% | RBD_CCP-1(0.04)% | RBF-1(0.04)% | 
         CCA	 2154	2.64%	 2152	99.91% Misclassified as: CCT-1(0.05)% | FW-1(0.05)% | 
         JJD	 2111	2.59%	 1602	75.89% Misclassified as: NNC-291(13.78)% | RBD-58(2.75)% | FW-24(1.14)% | JJD_CCP-19(0.90)% | VBW-17(0.81)% | RBT-15(0.71)% | VBTR-10(0.47)% | VBTS-10(0.47)% | RBW-9(0.43)% | JJC-6(0.28)% | CCT-5(0.24)% | RBN-5(0.24)% | CCB-4(0.19)% | CDB-4(0.19)% | JJCC-4(0.19)% | NNP-4(0.19)% | PRI-4(0.19)% | NNC_CCP-3(0.14)% | VBAF-3(0.14)% | VBTF-3(0.14)% | JJCS-2(0.09)% | JJN-2(0.09)% | RBL-2(0.09)% | JJN_CCP-1(0.05)% | NNPA-1(0.05)% | RBI-1(0.05)% | VBOF-1(0.05)% | VBTS_VBOF-1(0.05)% | 
        VBTS	 1894	2.32%	 1495	78.93% Misclassified as: VBOF-193(10.19)% | VBTR-85(4.49)% | VBTS_VBOF-41(2.16)% | RBD-24(1.27)% | JJD-19(1.00)% | NNC-13(0.69)% | FW-5(0.26)% | VBTR_VBOF-4(0.21)% | VBOL-2(0.11)% | VBTF-2(0.11)% | VBTR_VBRF-2(0.11)% | VBTS_CCP-2(0.11)% | JJCS_JJD-1(0.05)% | NNP-1(0.05)% | RBW-1(0.05)% | VBAF-1(0.05)% | VBRF-1(0.05)% | VBTR_CCP-1(0.05)% | VBTS_VBAF-1(0.05)% | 
         CDB	 1643	2.01%	 1612	98.11% Misclassified as: JJN-14(0.85)% | NNP-8(0.49)% | NNPA-4(0.24)% | NNC-2(0.12)% | FW-1(0.06)% | PMP-1(0.06)% | PRI-1(0.06)% | 
