	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
         NNC	11008	13.49%	10608	96.37% Misclassified as: VBW-135(1.23)% | JJD-122(1.11)% | FW-70(0.64)% | VBOF-17(0.15)% | CCB-6(0.05)% | NNC_CCP-6(0.05)% | NNP-6(0.05)% | RBW-6(0.05)% | CCT-5(0.05)% | RBD-5(0.05)% | VBS-4(0.04)% | VBTS-4(0.04)% | VBRF-3(0.03)% | VBTR-3(0.03)% | JJD_CCP-2(0.02)% | RBL-2(0.02)% | JJCC-1(0.01)% | JJN-1(0.01)% | RBD_CCP-1(0.01)% | VBTF-1(0.01)% | 
         NNP	 7834	9.60%	 7765	99.12% Misclassified as: NNPA-23(0.29)% | FW-21(0.27)% | NNC-6(0.08)% | CDB-5(0.06)% | DTC-4(0.05)% | JJD-3(0.04)% | NNP_CCP-2(0.03)% | CCR-1(0.01)% | DTP-1(0.01)% | PRO-1(0.01)% | RBW-1(0.01)% | VBW-1(0.01)% | 
         CCB	 5104	6.25%	 5081	99.55% Misclassified as: CCT-9(0.18)% | RBW-7(0.14)% | PRC-3(0.06)% | RBD-3(0.06)% | JJD-1(0.02)% | 
         CCT	 4952	6.07%	 4930	99.56% Misclassified as: CCB-9(0.18)% | JJD-4(0.08)% | NNC-4(0.08)% | CCU-1(0.02)% | DTP-1(0.02)% | NNP-1(0.02)% | NNPA-1(0.02)% | RBP-1(0.02)% | 
         CCP	 4075	4.99%	 4030	98.90% Misclassified as: RBI-40(0.98)% | CCB-4(0.10)% | DTP-1(0.02)% | 
         DTC	 3959	4.85%	 3956	99.92% Misclassified as: NNP-3(0.08)% | 
         PMC	 3921	4.80%	 3920	99.97% Misclassified as: PMS-1(0.03)% | 
          FW	 3044	3.73%	 2781	91.36% Misclassified as: NNC-221(7.26)% | JJD-17(0.56)% | NNP-9(0.30)% | NNCA-4(0.13)% | VBTR-3(0.10)% | NNPA-2(0.07)% | VBTS-2(0.07)% | CCT-1(0.03)% | JJCC-1(0.03)% | PMQ-1(0.03)% | RBI_CCP-1(0.03)% | VBW-1(0.03)% | 
         PMP	 3039	3.72%	 3039	100.00% Misclassified as: 
        DTCP	 2546	3.12%	 2546	100.00% Misclassified as: 
         PMS	 2398	2.94%	 2378	99.17% Misclassified as: CDB-10(0.42)% | NNPA-3(0.13)% | NNP-2(0.08)% | PMQ-2(0.08)% | FW-1(0.04)% | NNC-1(0.04)% | NNCA-1(0.04)% | 
         CCA	 2153	2.64%	 2153	100.00% Misclassified as: 
         JJD	 2027	2.48%	 1736	85.64% Misclassified as: NNC-141(6.96)% | RBD-28(1.38)% | FW-18(0.89)% | VBTS-14(0.69)% | VBW-11(0.54)% | VBTF-10(0.49)% | VBTR-10(0.49)% | JJD_CCP-9(0.44)% | PRI-8(0.39)% | VBAF-8(0.39)% | RBT-6(0.30)% | CCB-5(0.25)% | JJC-5(0.25)% | RBL-5(0.25)% | NNP-3(0.15)% | RBW-3(0.15)% | JJCS-2(0.10)% | CCT-1(0.05)% | CDB-1(0.05)% | JJCC-1(0.05)% | JJN-1(0.05)% | PRQ-1(0.05)% | 
        VBTS	 1912	2.34%	 1694	88.60% Misclassified as: VBOF-119(6.22)% | VBTR-54(2.82)% | RBD-11(0.58)% | VBTS_VBOF-9(0.47)% | JJD-8(0.42)% | FW-3(0.16)% | JJCS_JJD-3(0.16)% | NNC-3(0.16)% | RBD_CCP-1(0.05)% | VBOL-1(0.05)% | VBRF-1(0.05)% | VBTF-1(0.05)% | VBTR_CCP-1(0.05)% | VBTR_VBOF-1(0.05)% | VBTR_VBRF-1(0.05)% | VBTS_CCP-1(0.05)% | 
         CDB	 1652	2.02%	 1634	98.91% Misclassified as: JJN-11(0.67)% | NNC-2(0.12)% | FW-1(0.06)% | JJD-1(0.06)% | PMP-1(0.06)% | PMS-1(0.06)% | PRI-1(0.06)% | 
     JJD_CCP	 1458	1.79%	 1309	89.78% Misclassified as: NNC_CCP-66(4.53)% | RBD_CCP-23(1.58)% | PRI_CCP-21(1.44)% | RBW_CCP-6(0.41)% | VBTS_CCP-6(0.41)% | JJD-4(0.27)% | VBTR_CCP-4(0.27)% | VBAF_CCP-3(0.21)% | VBW-3(0.21)% | CCB-2(0.14)% | JJN_CCP-2(0.14)% | NNP_CCP-2(0.14)% | VBOF_CCP-2(0.14)% | FW-1(0.07)% | NNC-1(0.07)% | PRQ_CCP-1(0.07)% | VBTR-1(0.07)% | VBW_CCP-1(0.07)% | 
        VBTR	 1317	1.61%	 1206	91.57% Misclassified as: VBTS-61(4.63)% | VBTR_VBAF-11(0.84)% | VBOF-9(0.68)% | VBTR_CCP-9(0.68)% | NNC-5(0.38)% | RBD-5(0.38)% | VBTF-5(0.38)% | JJD-1(0.08)% | RBD_CCP-1(0.08)% | VBAF-1(0.08)% | VBTR_VBOF-1(0.08)% | VBTS_VBOF-1(0.08)% | VBW-1(0.08)% | 
          LM	 1292	1.58%	 1292	100.00% Misclassified as: 
     PRI_CCP	 1053	1.29%	 1035	98.29% Misclassified as: JJD_CCP-11(1.04)% | JJN_CCP-3(0.28)% | PRQ_CCP-3(0.28)% | RBD_CCP-1(0.09)% | 
         VBW	 1004	1.23%	  650	64.74% Misclassified as: NNC-257(25.60)% | JJD-28(2.79)% | VBAF-25(2.49)% | VBTF-11(1.10)% | VBS-10(1.00)% | RBW-7(0.70)% | RBD-6(0.60)% | VBTS-3(0.30)% | VBOF-2(0.20)% | NNP-1(0.10)% | RBD_CCP-1(0.10)% | RBI-1(0.10)% | VBTF_VBAF-1(0.10)% | VBW_CCP-1(0.10)% | 
