	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
         NNC	 5941	14.21%	 5668	95.40% Misclassified as: FW-134(2.26)% | JJD-86(1.45)% | VBW-12(0.20)% | VBOF-9(0.15)% | RBW-6(0.10)% | CCT-5(0.08)% | NNP-5(0.08)% | NNC_CCP-3(0.05)% | VBTF-3(0.05)% | PRO-2(0.03)% | VBS-2(0.03)% | CCB-1(0.02)% | JJD_CCA-1(0.02)% | JJD_CCP-1(0.02)% | PRI-1(0.02)% | RBD-1(0.02)% | VBTS-1(0.02)% | 
         NNP	 4104	9.82%	 4075	99.29% Misclassified as: NNPA-8(0.19)% | FW-6(0.15)% | NNC-5(0.12)% | NNP_CCP-3(0.07)% | CCR-2(0.05)% | JJN_CCP-2(0.05)% | DTP-1(0.02)% | JJD-1(0.02)% | PRO-1(0.02)% | 
         CCB	 2609	6.24%	 2588	99.20% Misclassified as: CCT-7(0.27)% | RBW-5(0.19)% | CCP-4(0.15)% | RBD-2(0.08)% | NNC-1(0.04)% | PRC-1(0.04)% | VBTF-1(0.04)% | 
         CCT	 2536	6.07%	 2523	99.49% Misclassified as: CCB-3(0.12)% | NNC-2(0.08)% | RBM-2(0.08)% | CCU-1(0.04)% | DTCP-1(0.04)% | FW-1(0.04)% | JJD-1(0.04)% | NNP-1(0.04)% | RBW-1(0.04)% | 
         CCP	 2046	4.89%	 2019	98.68% Misclassified as: RBI-24(1.17)% | CCB-1(0.05)% | CCT-1(0.05)% | DTP-1(0.05)% | 
         DTC	 2044	4.89%	 2043	99.95% Misclassified as: CCB-1(0.05)% | 
         PMC	 2030	4.86%	 2029	99.95% Misclassified as: PMS-1(0.05)% | 
         PMP	 1605	3.84%	 1605	100.00% Misclassified as: 
          FW	 1465	3.50%	 1258	85.87% Misclassified as: NNC-170(11.60)% | JJD-17(1.16)% | NNP-8(0.55)% | VBTR-3(0.20)% | VBOF-2(0.14)% | VBTS-2(0.14)% | JJD_CCP-1(0.07)% | NNCA-1(0.07)% | NNPA-1(0.07)% | RBI_CCP-1(0.07)% | RBL-1(0.07)% | 
        DTCP	 1306	3.12%	 1305	99.92% Misclassified as: NNC-1(0.08)% | 
         PMS	 1191	2.85%	 1175	98.66% Misclassified as: NNPA-8(0.67)% | NNCA-3(0.25)% | PMQ-2(0.17)% | FW-1(0.08)% | NNC-1(0.08)% | NNP-1(0.08)% | 
         CCA	 1091	2.61%	 1091	100.00% Misclassified as: 
         JJD	 1050	2.51%	  805	76.67% Misclassified as: NNC-127(12.10)% | RBD-26(2.48)% | FW-16(1.52)% | JJD_CCP-10(0.95)% | RBT-9(0.86)% | VBW-9(0.86)% | VBTS-6(0.57)% | CDB-4(0.38)% | JJC-4(0.38)% | JJCC-4(0.38)% | VBTR-4(0.38)% | CCB-3(0.29)% | PRI-3(0.29)% | RBN-3(0.29)% | VBAF-3(0.29)% | CCT-2(0.19)% | NNP-2(0.19)% | RBW-2(0.19)% | JJCS-1(0.10)% | JJN-1(0.10)% | NNPA-1(0.10)% | RBI-1(0.10)% | RBL-1(0.10)% | VBOF-1(0.10)% | VBTF-1(0.10)% | VBTS_VBOF-1(0.10)% | 
        VBTS	  873	2.09%	  726	83.16% Misclassified as: VBOF-62(7.10)% | VBTR-34(3.89)% | VBTS_VBOF-14(1.60)% | RBD-10(1.15)% | JJD-8(0.92)% | NNC-7(0.80)% | FW-2(0.23)% | VBTR_VBRF-2(0.23)% | VBTS_CCP-2(0.23)% | RBW-1(0.11)% | VBAF-1(0.11)% | VBOL-1(0.11)% | VBTR_CCP-1(0.11)% | VBTR_VBOF-1(0.11)% | VBTS_VBAF-1(0.11)% | 
         CDB	  859	2.06%	  846	98.49% Misclassified as: JJN-6(0.70)% | NNP-5(0.58)% | NNC-1(0.12)% | PMP-1(0.12)% | 
     JJD_CCP	  745	1.78%	  626	84.03% Misclassified as: NNC_CCP-44(5.91)% | PRI_CCP-28(3.76)% | RBD_CCP-15(2.01)% | RBW_CCP-5(0.67)% | JJD-4(0.54)% | JJN_CCP-3(0.40)% | NNC-3(0.40)% | NNP_CCP-3(0.40)% | VBTR_CCP-3(0.40)% | VBTS_CCP-3(0.40)% | CCB-1(0.13)% | JJCS_CCP-1(0.13)% | JJC_CCP-1(0.13)% | RBN_CCP-1(0.13)% | VBAF-1(0.13)% | VBOF-1(0.13)% | VBTR-1(0.13)% | VBW_CCP-1(0.13)% | 
        VBTR	  725	1.73%	  578	79.72% Misclassified as: VBTS-65(8.97)% | VBTR_VBAF-29(4.00)% | VBTR_VBOF-14(1.93)% | RBD-9(1.24)% | VBTR_CCP-7(0.97)% | JJD-5(0.69)% | VBTS_VBOF-4(0.55)% | NNC-3(0.41)% | VBOF-3(0.41)% | VBTF-3(0.41)% | RBD_CCP-2(0.28)% | VBAF-2(0.28)% | RBW-1(0.14)% | 
     PRI_CCP	  551	1.32%	  508	92.20% Misclassified as: JJD_CCP-23(4.17)% | PRQ_CCP-12(2.18)% | JJN_CCP-4(0.73)% | JJD-1(0.18)% | PRI_CCB-1(0.18)% | RBD_CCP-1(0.18)% | RBM-1(0.18)% | 
     NNC_CCP	  518	1.24%	  446	86.10% Misclassified as: JJD_CCP-51(9.85)% | NNC-11(2.12)% | RBD_CCP-4(0.77)% | JJN_CCP-2(0.39)% | CCB-1(0.19)% | JJD-1(0.19)% | VBTF_CCP-1(0.19)% | VBW_CCP-1(0.19)% | 
         DTP	  472	1.13%	  472	100.00% Misclassified as: 
         RBI	  421	1.01%	  373	88.60% Misclassified as: CCP-47(11.16)% | JJD_CCP-1(0.24)% | 
         PRO	  406	0.97%	  400	98.52% Misclassified as: PRL-3(0.74)% | FW-1(0.25)% | PRO_LM-1(0.25)% | RBL-1(0.25)% | 
